what,kind,bundleId,bundleVersion,description,time
startIde,ide,Unknown,,"[IDE] RIDE-1.3.0",1365486922926
started,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1365486922933
started,bundle,com.ebay.tools.maven.archetype,1.0.0.201209281102,"com.ebay.tools.maven.archetype",1365486922934
started,bundle,com.ebay.tools.maven.archetype.raptor,1.0.0.201209281102,"com.ebay.tools.maven.archetype.raptor",1365486922934
started,bundle,com.ebay.tools.raptor.common,1.0.10.201209281102,"com.ebay.tools.raptor.common",1365486922935
started,bundle,com.ebay.tools.raptor.git,1.0.0.201209281102,"com.ebay.tools.raptor.git",1365486922935
started,bundle,com.ebay.tools.raptor.maven,1.2.2.201209281102,"com.ebay.tools.raptor.maven",1365486922935
started,bundle,com.ebay.tools.raptor.maven.build,1.2.3.201209281102,"com.ebay.tools.raptor.maven.build",1365486922936
started,bundle,com.ebay.tools.raptor.maven.resources,1.2.0.201209281102,"com.ebay.tools.raptor.maven.resources",1365486922936
started,bundle,com.ebay.tools.raptor.server.core,1.4.1.201209281102,"com.ebay.tools.raptor.server.core",1365486922937
started,bundle,com.ebay.tools.raptor.server.geronimo,1.4.3.201209281102,"com.ebay.tools.raptor.server.geronimo",1365486922937
started,bundle,com.ebay.tools.ssdfinder,1.0.0.201209281102,"com.ebay.tools.ssdfinder",1365486922938
started,bundle,com.ebay.tools.tracking,1.1.1.201209281102,"com.ebay.tools.tracking",1365486922938
started,bundle,com.ebay.uede.adoptiontracking,1.3.1.R201207300228,"com.ebay.uede.adoptiontracking",1365486922938
started,bundle,com.ebay.tools.soa.external,2.10.0.201207200537,"com.ebay.tools.soa.external",1365486924054
started,bundle,com.ebay.tools.tracking.ride,1.0.2.201209281102,"com.ebay.tools.tracking.ride",1365486924055
stopped,bundle,com.ebay.tools.content.validation.facet,1.0.0.201209130219,"com.ebay.tools.content.validation.facet",1365486983569
stopped,bundle,com.ebay.tools.v4.appcore,1.0.0.201209130219,"com.ebay.tools.v4.appcore",1365486983570
stopped,bundle,com.ebay.tools.codegen,1.0.0.201209130219,"com.ebay.tools.codegen",1365486983571
stopped,bundle,com.ebay.content.codegen,1.0.0.201209130219,"com.ebay.content.codegen",1365486983571
stopped,bundle,com.ebay.tools.codegen.spec.manager,1.0.0.201209130219,"com.ebay.tools.codegen.spec.manager",1365486983572
stopped,bundle,com.ebay.tools.webres.resview,1.0.0.201209130219,"com.ebay.tools.webres.resview",1365486983572
stopped,bundle,com.ebay.tools.webres.explorer,1.0.0.201209130219,"com.ebay.tools.webres.explorer",1365486983573
stopped,bundle,com.ebay.tools.esf.taglib.v4,1.0.0.201209130219,"com.ebay.tools.esf.taglib.v4",1365486983573
stopped,bundle,com.ebay.kernel.content,1.0.0.201106261813,"com.ebay.kernel.content",1365486983581
stopped,bundle,com.ebay.mddf.codegen,1.0.0.201209130219,"com.ebay.mddf.codegen",1365486983582
stopped,bundle,com.ebay.soaframework.eclipse,2.10.0.201207200537,"com.ebay.soaframework.eclipse",1365486983583
stopped,bundle,com.ebay.tools.content,1.0.0.201209130219,"com.ebay.tools.content",1365486983583
stopped,bundle,com.ebay.tools.core.workspace,1.0.0.201106261813,"com.ebay.tools.core.workspace",1365486983583
stopped,bundle,com.ebay.tools.core.common,2.1.0.201106261813,"com.ebay.tools.core.common",1365486983584
stopped,bundle,com.ebay.tools.core.help,1.0.3.201106261813,"com.ebay.tools.core.help",1365486983584
stopped,bundle,com.ebay.tools.core.jdt,1.1.0.201106261813,"com.ebay.tools.core.jdt",1365486983584
stopped,bundle,com.ebay.tools.core,2.1.0.201106261813,"com.ebay.tools.core",1365486983584
stopped,bundle,com.ebay.tools.core.ui,1.1.1.201106261813,"com.ebay.tools.core.ui",1365486983585
stopped,bundle,com.ebay.tools.core.utils,1.0.0,"com.ebay.tools.core.utils",1365486983585
stopped,bundle,com.ebay.tools.ede.themis,1.0.0.201203151301,"com.ebay.tools.ede.themis",1365486983585
stopped,bundle,com.ebay.tools.esf.taglib,1.0.0.201209130219,"com.ebay.tools.esf.taglib",1365486983586
